Timestamp,GSR Value (uS)
2025-05-23 11:15:38.808,-0.24
2025-05-23 11:15:38.988,-0.24
2025-05-23 11:15:39.108,-0.24
2025-05-23 11:15:39.288,-0.24
2025-05-23 11:15:39.408,-0.24
2025-05-23 11:15:39.589,-0.24
2025-05-23 11:15:39.769,-0.29
2025-05-23 11:15:39.888,-0.24
2025-05-23 11:15:40.070,-0.24
2025-05-23 11:15:40.190,-0.24
2025-05-23 11:15:40.368,-0.24
2025-05-23 11:15:40.488,-0.24
2025-05-23 11:15:40.669,-0.24
2025-05-23 11:15:40.789,-0.24
2025-05-23 11:15:40.968,-0.24
2025-05-23 11:15:41.089,-0.24
2025-05-23 11:15:41.269,-0.24
2025-05-23 11:15:41.448,-0.24
2025-05-23 11:15:41.569,-0.24
2025-05-23 11:15:41.749,-0.24
2025-05-23 11:15:41.869,-0.24
2025-05-23 11:15:42.048,-0.24
2025-05-23 11:15:42.169,-0.24
2025-05-23 11:15:42.349,-0.24
2025-05-23 11:15:42.468,-0.24
2025-05-23 11:15:42.650,-0.24
2025-05-23 11:15:42.768,-0.24
2025-05-23 11:15:42.948,-0.24
2025-05-23 11:15:43.129,-0.24
2025-05-23 11:15:43.249,-0.24
2025-05-23 11:15:43.428,-0.24
2025-05-23 11:15:43.549,-0.24
2025-05-23 11:15:43.729,-0.24
2025-05-23 11:15:43.849,-0.24
2025-05-23 11:15:44.029,-0.24
2025-05-23 11:15:44.209,-0.19
2025-05-23 11:15:44.329,-0.24
2025-05-23 11:15:44.508,-0.24
2025-05-23 11:15:44.630,-0.24
